OMXS,pca,8,8,0.011112472703538111,0.01,0.9660556687033266,0.9313186813186813,0.9405092114924105,0.8962008141112618,0.8176400476758046,0.8467439340478563
OMXS,pca,16,16,0.011112472703538111,10.0,0.9646978954514596,0.9329896907216495,0.9591565449825079,0.9138398914518318,0.8584169453734671,0.8813754394979416
OMXS,pca,32,32,0.011112472703538111,0.1,0.9660556687033266,0.9348958333333334,0.9575213191221849,0.9172320217096337,0.8616780045351474,0.8813702597932676
OMXS,ae_mlp,8,42,8,0.011112472703538111,10.0,0.8520027155465038,0.6929577464788732,0.7844093271459489,0.8473541383989145,0.7428571428571429,0.8009470572025865
OMXS,ae_mlp,8,123,8,0.011112472703538111,0.1,0.8540393754243042,0.700139470013947,0.7900372394796071,0.8290366350067843,0.7129840546697038,0.7810973929510435
OMXS,ae_mlp,8,456,8,0.011112472703538111,1.0,0.8336727766463,0.6494992846924177,0.7558738560617331,0.8208955223880597,0.695852534562212,0.7693871166241586
OMXS,ae_mlp,16,42,16,0.011112472703538111,0.1,0.9158180583842498,0.8414322250639387,0.8980893171642328,0.8697421981004071,0.7803203661327232,0.8258873352076959
OMXS,ae_mlp,16,123,16,0.011112472703538111,10.0,0.8988458927359131,0.8106734434561627,0.8781258847975584,0.8710990502035278,0.7845804988662132,0.8294530439052488
OMXS,ae_mlp,16,456,16,0.011112472703538111,100.0,0.9056347589952478,0.8273291925465839,0.8946173115591153,0.8738127544097694,0.7876712328767124,0.8309779489612621
OMXS,ae_mlp,32,42,32,0.011112472703538111,100.0,0.9395790902919212,0.8891656288916563,0.9379465978184192,0.8900949796472184,0.8187919463087249,0.8538888186751143
OMXS,ae_mlp,32,123,32,0.011112472703538111,0.1,0.9341479972844535,0.876117496807152,0.9223717613410052,0.8894165535956581,0.8154020385050963,0.8503220740366267
OMXS,ae_mlp,32,456,32,0.011112472703538111,10.0,0.9273591310251188,0.8650693568726355,0.9177888099202902,0.8867028493894166,0.8150609080841639,0.8523649495600358
